DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
654.5,-999.25,0.64,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
655,-999.25,0.62,0.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
655.5,-999.25,0.57,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
656,-999.25,0.6093,0.7691,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
656.5,-999.25,0.66,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
657,-999.25,0.62,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
657.5,-999.25,0.63,0.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
658,-999.25,0.6795,0.8196,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
658.5,-999.25,0.66,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
659,-999.25,0.59,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
659.5,-999.25,0.55,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
660,-999.25,0.5304,0.7303,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
660.5,-999.25,0.56,0.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
661,-999.25,0.57,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
661.5,-999.25,0.5809,0.7318,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
662,-999.25,0.57,0.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
662.5,-999.25,0.74,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
663,-999.25,0.7695,0.8998,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
663.5,-999.25,0.7,0.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
664,-999.25,0.67,0.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
664.5,-999.25,0.6709,0.7811,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
665,-999.25,0.75,0.88,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
665.5,-999.25,0.7402,0.8802,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
666,-999.25,0.7692,0.8703,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
666.5,-999.25,0.75,0.87,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
667,-999.25,0.76,0.88,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
667.5,-999.25,0.74,0.85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
668,-999.25,0.66,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
668.5,-999.25,0.611,0.7105,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
669,-999.25,0.65,0.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
669.5,-999.25,0.69,0.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
670,-999.25,0.73,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
670.5,-999.25,0.71,0.85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
671,-999.25,0.66,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
671.5,-999.25,0.74,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
672,-999.25,0.78,0.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
672.5,-999.25,0.7702,0.9301,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
673,-999.25,0.71,0.84,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
673.5,-999.25,0.7298,0.86,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
674,-999.25,0.71,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
674.5,-999.25,0.66,0.77,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
675,-999.25,0.5705,0.6407,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
675.5,-999.25,0.5497,0.6395,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
676,-999.25,0.57,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
676.5,-999.25,0.6,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
677,-999.25,0.57,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
677.5,-999.25,0.6186,0.7303,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
678,-999.25,0.57,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
678.5,-999.25,0.5802,0.7302,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
679,-999.25,0.5701,0.7699,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
679.5,-999.25,0.55,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
680,-999.25,0.61,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
680.5,-999.25,0.6,0.74,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
681,-999.25,0.74,0.86,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
681.5,-999.25,0.79,0.88,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
682,-999.25,0.79,0.9,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
682.5,-999.25,0.79,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
683,-999.25,0.77,0.88,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
683.5,-999.25,0.7901,0.9002,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
684,-999.25,0.8,0.92,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
684.5,-999.25,0.79,0.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
685,-999.25,0.71,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
685.5,-999.25,0.6097,0.7298,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
686,-999.25,0.59,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
686.5,-999.25,0.59,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
687,-999.25,0.59,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
687.5,-999.25,0.55,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
688,-999.25,0.57,0.68,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
688.5,-999.25,0.6101,0.7204,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
689,-999.25,0.63,0.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
689.5,-999.25,0.57,0.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
690,-999.25,0.5092,0.6897,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
690.5,-999.25,0.51,0.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
691,-999.25,0.51,0.7097,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
691.5,-999.25,0.5198,0.71,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
692,-999.25,0.61,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
692.5,-999.25,0.581,0.7204,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
693,-999.25,0.6299,0.7399,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
693.5,-999.25,0.59,0.71,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
694,-999.25,0.68,0.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
694.5,-999.25,0.61,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
695,-999.25,0.62,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
695.5,-999.25,0.66,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
696,-999.25,0.6204,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
696.5,-999.25,0.6297,0.7008,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
697,-999.25,0.63,0.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
697.5,-999.25,0.6295,0.71,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
698,-999.25,0.61,0.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
698.5,-999.25,0.6,0.7196,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
