DEPT,ECGR,ATRT,DTCO,DTSM,RHOB,NPHI
576.5,149.9947,-999.25,-999.25,-999.25,-999.25,-999.25
577,145.6089,-999.25,-999.25,-999.25,-999.25,-999.25
577.5,138.0068,-999.25,-999.25,-999.25,-999.25,-999.25
578,66.8898,-999.25,-999.25,-999.25,-999.25,-999.25
578.5,38.6983,0.5209,-999.25,-999.25,-999.25,-999.25
579,41.898,0.6509,-999.25,-999.25,-999.25,-999.25
579.5,40.4279,0.4754,-999.25,-999.25,-999.25,-999.25
580,37.358,0.4388,-999.25,-999.25,-999.25,-999.25
580.5,35.1096,0.5966,-999.25,-999.25,-999.25,-999.25
581,32.6882,0.5954,-999.25,-999.25,-999.25,-999.25
581.5,33.38,0.5814,-999.25,-999.25,-999.25,-999.25
582,29.4021,0.7487,-999.25,-999.25,-999.25,-999.25
582.5,27.5861,0.8392,-999.25,-999.25,-999.25,-999.25
583,27.4996,0.9184,-999.25,-999.25,-999.25,-999.25
583.5,36.3202,0.7453,-999.25,-999.25,-999.25,-999.25
584,37.5309,0.7697,-999.25,-999.25,-999.25,-999.25
584.5,32.7531,0.7848,-999.25,-999.25,-999.25,-999.25
585,28.7968,0.695,-999.25,-999.25,-999.25,-999.25
585.5,32.472,0.6836,-999.25,-999.25,-999.25,-999.25
586,36.4932,0.7027,-999.25,-999.25,-999.25,-999.25
586.5,43.1519,0.7296,-999.25,-999.25,-999.25,-999.25
587,45.7894,0.6485,-999.25,-999.25,-999.25,-999.25
587.5,40.7305,0.6923,-999.25,-999.25,-999.25,-999.25
588,37.7471,0.6107,-999.25,-999.25,-999.25,-999.25
588.5,33.6395,0.6528,-999.25,-999.25,-999.25,-999.25
589,33.2071,0.6862,-999.25,-999.25,-999.25,-999.25
589.5,37.4877,0.6783,-999.25,-999.25,-999.25,-999.25
590,42.3304,0.8307,-999.25,-999.25,-999.25,-999.25
590.5,36.9688,0.757,-999.25,-999.25,-999.25,-999.25
591,37.185,0.6712,-999.25,-999.25,-999.25,-999.25
591.5,31.0452,0.7433,-999.25,-999.25,-999.25,-999.25
592,28.9697,0.7056,-999.25,-999.25,-999.25,-999.25
592.5,30.0507,0.6969,-999.25,-999.25,-999.25,-999.25
593,35.6717,0.6834,-999.25,-999.25,-999.25,-999.25
593.5,37.8768,0.6819,-999.25,-999.25,-999.25,-999.25
594,37.358,0.6523,-999.25,-999.25,-999.25,-999.25
594.5,34.3745,0.6636,-999.25,-999.25,-999.25,-999.25
595,34.288,0.6937,-999.25,-999.25,-999.25,-999.25
595.5,37.5309,0.7203,-999.25,-999.25,-999.25,-999.25
596,33.0341,0.6569,-999.25,-999.25,-999.25,-999.25
596.5,34.8069,0.6623,-999.25,-999.25,-999.25,-999.25
597,35.8446,0.6379,-999.25,-999.25,-999.25,-999.25
597.5,38.0498,0.6515,-999.25,-999.25,-999.25,-999.25
598,35.2393,0.6172,-999.25,-999.25,-999.25,-999.25
598.5,35.6284,0.6172,-999.25,-999.25,-999.25,-999.25
599,38.5686,0.6355,-999.25,-999.25,-999.25,-999.25
599.5,42.2007,0.7357,-999.25,-999.25,-999.25,-999.25
600,39.0875,0.7046,-999.25,-999.25,-999.25,-999.25
600.5,43.2384,0.9608,-999.25,-999.25,-999.25,-999.25
601,42.806,0.9671,-999.25,-999.25,-999.25,-999.25
601.5,42.2007,0.9665,-999.25,-999.25,-999.25,-999.25
602,44.2761,0.7825,-999.25,-999.25,-999.25,-999.25
602.5,51.8861,0.7825,-999.25,-999.25,-999.25,-999.25
603,48.254,0.8012,-999.25,-999.25,-999.25,-999.25
603.5,47.0866,0.7096,-999.25,-999.25,-999.25,-999.25
604,46.6974,0.7886,-999.25,-999.25,-999.25,-999.25
604.5,45.4868,0.7886,-999.25,-999.25,-999.25,-999.25
605,41.9845,0.77,-999.25,-999.25,-999.25,-999.25
605.5,39.6496,0.8472,-999.25,-999.25,-999.25,-999.25
606,36.1473,0.8472,-999.25,-999.25,-999.25,-999.25
606.5,35.1096,0.911,-999.25,-999.25,-999.25,-999.25
607,39.001,0.8489,-999.25,-999.25,-999.25,-999.25
607.5,41.2062,0.7263,-999.25,-999.25,-999.25,-999.25
608,41.6386,0.744,-999.25,-999.25,-999.25,-999.25
608.5,41.5953,0.7168,-999.25,-999.25,-999.25,-999.25
609,41.725,0.745,-999.25,-999.25,-999.25,-999.25
609.5,45.703,0.9502,-999.25,-999.25,-999.25,-999.25
610,44.5355,1.0576,-999.25,-999.25,-999.25,-999.25
610.5,44.5355,0.9642,-999.25,-999.25,-999.25,-999.25
611,44.795,0.823,-999.25,-999.25,-999.25,-999.25
611.5,43.4978,0.7516,-999.25,-999.25,-999.25,-999.25
612,38.0498,0.7045,-999.25,-999.25,-999.25,-999.25
612.5,33.2071,0.728,-999.25,-999.25,-999.25,-999.25
613,32.1477,0.7675,-999.25,-999.25,-999.25,-999.25
613.5,35.6284,0.8309,-999.25,-999.25,-999.25,-999.25
614,31.3046,1.124,-999.25,-999.25,-999.25,-999.25
614.5,33.8989,1.124,-999.25,-999.25,-999.25,-999.25
615,39.5343,1.1253,-999.25,-999.25,-999.25,-999.25
615.5,34.4178,1.0561,-999.25,-999.25,-999.25,-999.25
616,33.5962,0.9283,-999.25,-999.25,-999.25,-999.25
616.5,30.2236,0.8658,-999.25,-999.25,-999.25,-999.25
617,30.1804,0.7927,-999.25,-999.25,-999.25,-999.25
617.5,30.9587,0.8156,-999.25,-999.25,-999.25,-999.25
618,30.9587,0.7888,-999.25,-999.25,-999.25,-999.25
618.5,28.8832,0.786,-999.25,-999.25,-999.25,-999.25
619,29.4886,0.7854,-999.25,-999.25,-999.25,-999.25
619.5,31.2181,0.7535,-999.25,-999.25,-999.25,-999.25
620,33.8557,0.7321,-999.25,-999.25,-999.25,-999.25
620.5,33.1638,0.7232,-999.25,-999.25,-999.25,-999.25
621,31.9099,0.7154,-999.25,-999.25,-999.25,-999.25
621.5,31.1316,0.6934,-999.25,-999.25,-999.25,-999.25
622,30.5695,0.7369,-999.25,-999.25,-999.25,-999.25
622.5,30.5695,0.7175,-999.25,-999.25,-999.25,-999.25
623,36.104,0.8341,-999.25,-999.25,-999.25,-999.25
623.5,44.0167,0.8803,-999.25,-999.25,-999.25,-999.25
624,47.3893,0.7985,-999.25,-999.25,-999.25,-999.25
624.5,41.6818,0.7585,-999.25,-999.25,-999.25,-999.25
625,40.2549,0.7846,-999.25,-999.25,-999.25,-999.25
625.5,38.5686,0.7829,-999.25,-999.25,-999.25,-999.25
626,34.5907,0.7829,-999.25,-999.25,-999.25,-999.25
626.5,35.6284,0.7931,-999.25,-999.25,-999.25,-999.25
627,36.5364,0.7298,-999.25,-999.25,-999.25,-999.25
627.5,38.5686,0.679,-999.25,-999.25,-999.25,-999.25
628,45.0544,0.655,-999.25,-999.25,-999.25,-999.25
628.5,45.8759,0.6546,-999.25,-999.25,-999.25,-999.25
629,46.438,0.8243,-999.25,-999.25,-999.25,-999.25
629.5,47.7352,0.8243,-999.25,-999.25,-999.25,-999.25
630,42.5466,0.725,-999.25,-999.25,-999.25,-999.25
630.5,37.358,0.725,-999.25,-999.25,-999.25,-999.25
631,33.0774,0.864,-999.25,-999.25,-999.25,-999.25
631.5,31.7802,0.7901,-999.25,-999.25,-999.25,-999.25
632,33.4665,0.8318,-999.25,-999.25,-999.25,-999.25
632.5,41.7683,0.8055,-999.25,-999.25,-999.25,-999.25
633,48.1243,0.7826,-999.25,-999.25,-999.25,-999.25
633.5,46.438,0.8529,-999.25,-999.25,-999.25,-999.25
634,43.2384,0.8638,-999.25,-999.25,-999.25,-999.25
634.5,40.2982,0.8711,-999.25,-999.25,-999.25,-999.25
635,38.0065,0.8814,-999.25,-999.25,-999.25,-999.25
635.5,40.4711,0.768,-999.25,-999.25,-999.25,-999.25
636,37.9201,0.8694,-999.25,-999.25,-999.25,-999.25
636.5,40.5144,0.7685,-999.25,-999.25,-999.25,-999.25
637,42.7195,0.8687,-999.25,-999.25,-999.25,-999.25
637.5,39.9523,0.9995,-999.25,-999.25,-999.25,-999.25
638,39.5199,1.0378,-999.25,-999.25,-999.25,-999.25
638.5,40.817,1.0305,-999.25,-999.25,-999.25,-999.25
639,38.6551,1.0701,-999.25,-999.25,-999.25,-999.25
639.5,37.358,1.0274,-999.25,-999.25,-999.25,-999.25
640,40.817,1.0274,-999.25,-999.25,-999.25,-999.25
640.5,42.5466,0.7476,-999.25,-999.25,-999.25,-999.25
641,42.5466,0.7476,-999.25,-999.25,-999.25,-999.25
641.5,44.2761,0.7031,-999.25,-999.25,-999.25,-999.25
642,46.611,0.9026,-999.25,-999.25,-999.25,-999.25
642.5,39.2172,0.975,-999.25,-999.25,-999.25,-999.25
643,43.1087,1.1921,-999.25,-999.25,-999.25,-999.25
643.5,36.9688,1.2269,-999.25,-999.25,-999.25,-999.25
644,35.7581,1.3759,-999.25,-999.25,-999.25,-999.25
644.5,35.369,1.3577,-999.25,-999.25,-999.25,-999.25
645,35.1096,1.3081,-999.25,-999.25,-999.25,-999.25
645.5,30.8722,1.1045,-999.25,-999.25,-999.25,-999.25
646,36.7526,1.2016,-999.25,-999.25,-999.25,-999.25
646.5,38.6983,1.0668,-999.25,-999.25,-999.25,-999.25
647,38.6983,1.0295,-999.25,-999.25,-999.25,-999.25
647.5,38.9578,0.9482,-999.25,-999.25,-999.25,-999.25
648,39.0875,0.9329,-999.25,-999.25,-999.25,-999.25
648.5,37.7904,0.8441,-999.25,-999.25,-999.25,-999.25
649,39.2172,0.8903,-999.25,-999.25,-999.25,-999.25
649.5,39.6064,0.8735,-999.25,-999.25,-999.25,-999.25
650,43.1087,0.8735,-999.25,-999.25,-999.25,-999.25
650.5,44.2761,0.9435,-999.25,-999.25,-999.25,-999.25
651,46.0056,0.9435,-999.25,-999.25,-999.25,-999.25
651.5,44.3193,0.8995,-999.25,-999.25,-999.25,-999.25
652,42.4601,0.9096,-999.25,-999.25,-999.25,-999.25
652.5,38.5686,0.9096,-999.25,-999.25,-999.25,-999.25
653,38.0498,1.029,-999.25,-999.25,-999.25,-999.25
653.5,37.3147,1.031,-999.25,-999.25,-999.25,-999.25
654,35.6717,0.9413,-999.25,-999.25,-999.25,-999.25
654.5,39.5631,0.9074,-999.25,-999.25,-999.25,-999.25
655,42.5466,0.8707,-999.25,-999.25,-999.25,-999.25
655.5,43.4546,0.8084,-999.25,-999.25,-999.25,-999.25
656,43.7572,0.904,-999.25,-999.25,-999.25,-999.25
656.5,40.3847,0.9012,-999.25,-999.25,-999.25,-999.25
657,37.7904,0.9429,-999.25,-999.25,-999.25,-999.25
657.5,36.7959,0.991,-999.25,-999.25,-999.25,-999.25
658,35.1096,1.0258,-999.25,-999.25,-999.25,-999.25
658.5,33.5962,0.8678,-999.25,-999.25,-999.25,-999.25
659,34.1583,0.8504,-999.25,-999.25,-999.25,-999.25
659.5,38.5686,0.8504,-999.25,-999.25,-999.25,-999.25
660,39.0875,0.9865,-999.25,-999.25,-999.25,-999.25
660.5,40.817,0.9865,-999.25,-999.25,-999.25,-999.25
661,41.3359,1.021,-999.25,-999.25,-999.25,-999.25
661.5,42.0709,0.967,-999.25,-999.25,-999.25,-999.25
662,43.1951,0.8821,-999.25,-999.25,-999.25,-999.25
662.5,41.5089,0.891,-999.25,-999.25,-999.25,-999.25
663,38.0498,0.891,-999.25,-999.25,-999.25,-999.25
663.5,37.5309,0.9175,-999.25,-999.25,-999.25,-999.25
664,37.358,0.911,-999.25,-999.25,-999.25,-999.25
664.5,35.6284,0.911,-999.25,-999.25,-999.25,-999.25
665,38.0498,0.9739,-999.25,-999.25,-999.25,-999.25
665.5,35.0663,1.0355,-999.25,-999.25,-999.25,-999.25
666,33.2071,0.9938,-999.25,-999.25,-999.25,-999.25
666.5,32.5585,1.0228,-999.25,-999.25,-999.25,-999.25
667,28.7968,1.0663,-999.25,-999.25,-999.25,-999.25
667.5,31.564,1.052,-999.25,-999.25,-999.25,-999.25
668,37.7471,1.008,-999.25,-999.25,-999.25,-999.25
668.5,37.2282,1.012,-999.25,-999.25,-999.25,-999.25
669,39.7793,1.0013,-999.25,-999.25,-999.25,-999.25
669.5,37.185,0.9399,-999.25,-999.25,-999.25,-999.25
670,40.2982,0.9028,-999.25,-999.25,-999.25,-999.25
670.5,46.0056,0.9039,-999.25,-999.25,-999.25,-999.25
671,47.3028,0.8364,-999.25,-999.25,-999.25,-999.25
671.5,48.5999,0.7977,-999.25,-999.25,-999.25,-999.25
672,53.3994,0.7606,-999.25,-999.25,-999.25,-999.25
